DEPT,GR,NPHI,RDEEP,RHOB
1989.7344,60.8528862,0.379594237,4.009535313,2.210000038
1989.8868,67.65097809,0.448985398,3.735011578,2.210000038
1990.0392,73.91194153,0.485481471,3.38201046,2.210000038
1990.1916,72.36021423,0.471521616,3.171780586,2.210000038
1990.344,72.48745728,0.473392576,2.917968273,2.210000038
1990.4964,68.70298767,0.468801826,2.880116224,2.210000038
1990.6488,68.56950378,0.496520102,2.919770479,2.210000038
1990.8012,72.659729,0.486598522,2.753181934,2.210000038
1990.9536,80.91778565,0.46320203,2.99119544,2.210000038
1991.106,81.19525147,0.475756466,3.124864817,2.210000038
1991.2584,79.76191711,0.479957372,2.999527216,2.210000038
1991.4108,74.42540741,0.470544487,2.73415947,2.210000038
1991.5632,75.44487763,0.472510576,2.549096108,2.210000038
1991.7156,76.26677704,0.456213534,2.3724823,2.210000038
1991.868,75.11672211,0.47147581,2.249430418,2.210000038
1992.0204,75.86315918,0.457998544,2.307528257,2.210000038
1992.1728,79.69760132,0.465701371,2.562462807,2.210000038
1992.3252,81.64356232,0.456982702,2.697854042,2.210000038
1992.4776,83.56092835,0.461062372,2.762794733,2.210000038
1992.63,78.55155945,0.463376075,2.749918222,2.210000038
1992.7824,77.527771,0.449500442,2.773495197,2.210000038
1992.9348,75.09793091,0.445888341,2.759045124,2.210000038
1993.0872,76.19672394,0.437565386,2.681397438,2.210000038
1993.2396,79.87962341,0.478665501,2.672186136,2.210000038
1993.392,79.62464905,0.487370879,2.650604248,2.210000038
1993.5444,80.4334259,0.488828659,2.671047688,2.210000038
1993.6968,76.85533142,0.460045785,2.753101587,2.210000038
1993.8492,78.86802673,0.462317348,2.860074997,2.210000038
1994.0016,75.31321716,0.511767626,2.811697245,2.210000038
1994.154,77.84142304,0.514918923,2.583430052,2.210000038
1994.3064,73.84410095,0.519118726,2.649827004,2.210000038
1994.4588,73.79911804,0.474528253,2.925408125,2.210000038
1994.6112,72.16506958,0.43740347,3.7103827,2.210000038
1994.7636,69.18110657,0.427193821,3.950030327,2.210000038
1994.916,70.32918549,0.445725083,3.738424063,2.210000038
1995.0684,68.15656281,0.453890652,3.486398459,2.210000038
1995.2208,74.37146759,0.454907835,3.105632544,2.210000038
1995.3732,74.10385895,0.423514754,2.999372006,2.210000038
1995.5256,78.57837677,0.472727776,2.862103701,2.210000038
1995.678,76.84924316,0.49370718,2.868705273,2.210000038
1995.8304,77.37214661,0.519099593,2.980443478,2.210000038
1995.9828,77.49654388,0.460750192,2.869715452,2.210000038
1996.1352,75.52429199,0.427118897,3.000833035,2.210000038
1996.2876,73.63174439,0.405666828,3.074999332,2.210000038
1996.44,70.05098724,0.412122279,2.951974392,2.210000038
1996.5924,74.42269135,0.445037454,3.145729542,2.210000038
1996.7448,75.07368469,0.438186288,3.317647457,2.210000038
1996.8972,78.27584839,0.430579841,3.465513945,2.16899991
1997.0496,75.69030762,0.405405641,3.630558729,2.220000029
1997.202,77.33931732,0.391222447,3.857257843,2.174999952
1997.3544,78.67429352,0.409361035,3.949478626,2.193000078
1997.5068,75.61222839,0.415403575,3.839642286,2.210000038
1997.6592,75.87122345,0.436838687,3.560558558,2.210000038
1997.8116,70.95676422,0.445779353,3.195035696,2.210000038
1997.964,73.28140259,0.465214819,2.868076086,2.210000038
1998.1164,73.28140259,0.491200626,2.611173153,2.210000038
1998.2688,74.94380188,0.496452838,2.550075054,2.210000038
1998.4212,74.82055664,0.493296355,2.518959284,2.210000038
1998.5736,73.66555786,0.559680343,2.410754442,2.210000038
