DEPT,GR,NPHI,RDEEP,RHOB
1974.6468,81.08616638,0.32257697,6.520039558,2.308315039
1974.7992,81.32530212,0.342473507,4.558483124,2.309912205
1974.9516,78.69013977,0.38328287,3.654174089,2.295063019
1975.104,87.65966797,0.40445146,3.550557613,2.320428848
1975.2564,84.28134918,0.402330995,3.262573242,2.310982943
1975.4088,86.01374817,0.397272438,3.091187954,2.307981968
1975.5612,85.56782532,0.421589345,3.075096607,2.28807497
1975.7136,87.02127838,0.445603371,3.132632017,2.284497023
1975.866,85.075737,0.451685458,3.17516923,2.283434153
1976.0184,86.55198669,0.42839998,3.199504137,2.339658976
1976.1708,88.19046021,0.431286752,3.154547215,2.361397028
1976.3232,87.31114197,0.410430789,3.080760956,2.358412981
1976.4756,90.19535828,0.388740957,2.953926563,2.342509031
1976.628,85.40842438,0.366369605,2.913064957,2.299324989
1976.7804,89.79842377,0.3273516,2.945366621,2.301825047
1976.9328,87.32119751,0.347281992,3.004102707,2.303698063
1977.0852,84.69678497,0.355004728,3.055649996,2.303429842
1977.2376,87.07219696,0.388768286,3.063319445,2.328917027
1977.39,87.29327393,0.390148878,3.074104309,2.329560041
1977.5424,86.78956604,0.366241634,3.024393797,2.336602926
1977.6948,86.62582398,0.360002995,2.982206821,2.338051081
1977.8472,90.13342285,0.383772969,2.972153187,2.337695122
1977.9996,90.23537445,0.384428859,2.93210268,2.331200838
1978.152,85.65614319,0.414798379,2.974548817,2.319316864
1978.3044,87.3031311,0.410479218,3.035253048,2.321599007
1978.4568,84.42706299,0.44866991,2.993299723,2.310240984
1978.6092,83.95116425,0.424054563,2.956553936,2.305267096
1978.7616,87.30123138,0.413627893,2.878270865,2.299482822
1978.914,88.77669525,0.408458114,2.718647718,2.289762974
1979.0664,85.31364441,0.450634271,2.722186089,2.264827967
1979.2188,83.67557526,0.458997041,2.757466793,2.260896921
1979.3712,87.8021698,0.43957004,2.787829876,2.27462697
1979.5236,86.30750275,0.425032765,2.82373333,2.270815849
1979.676,89.80971527,0.422349453,2.827628374,2.301072121
1979.8284,89.25513458,0.451000869,2.725703001,2.300136089
1979.9808,88.76711273,0.442043066,2.68979454,2.299561977
1980.1332,93.97113037,0.442391336,2.774303436,2.311707974
1980.2856,90.57249451,0.423366576,2.785061359,2.30722189
1980.438,89.30937958,0.429206282,2.846135855,2.300159931
1980.5904,86.44451141,0.406593025,2.878189564,2.300753832
1980.7428,85.55754089,0.405419827,2.858767033,2.30904007
1980.8952,88.33943939,0.393057168,2.877342701,2.321059942
1981.0476,86.71807861,0.427523345,2.948716164,2.317394018
1981.2,87.45844269,0.410407215,3.077854633,2.31636405
1981.3524,92.26356506,0.442185462,3.148365259,2.327854872
1981.5048,85.24041748,0.457208842,3.193235397,2.304781914
1981.6572,85.54764557,0.471153557,3.256153584,2.303422213
1981.8096,86.43675995,0.459109306,3.130075216,2.300781965
1981.962,87.42086029,0.441920072,3.004873514,2.3028121
1982.1144,85.56724548,0.426012248,2.738256931,2.291429043
1982.2668,86.6401825,0.450571626,2.604501724,2.291857958
1982.4192,89.8968811,0.435416251,2.566648245,2.29173708
1982.5716,88.1289444,0.453685373,2.660081625,2.298527002
1982.724,88.86869812,0.43191886,2.70553112,2.309210062
