DEPT,GR,NPHI,RDEEP,RHOB
1842.0588,96.40600586,0.377699941,2.944590092,2.320749998
1842.2112,95.32363892,0.363110066,2.866620064,2.303459883
1842.3636,93.96695709,0.355356395,2.768019915,2.266040087
1842.516,93.66477203,0.366358399,2.686199904,2.22837019
1842.6684,91.42195129,0.390637666,2.632669926,2.217909813
1842.8208,89.90320587,0.399196982,2.622587919,2.24119997
1842.9732,91.49125671,0.400018334,2.607860088,2.268520117
1843.1256,93.0167923,0.392769516,2.59368825,2.273879767
1843.278,92.63322449,0.398646921,2.566090107,2.264410019
1843.4304,93.04964447,0.401737571,2.609105825,2.256219864
1843.5828,93.35805512,0.415125608,2.61751008,2.248510122
1843.7352,90.21139526,0.421845257,2.600519896,2.252870083
1843.8876,87.23969269,0.402501196,2.590850115,2.251260042
1844.04,86.65036011,0.397857547,2.559880018,2.254679918
1844.1924,86.76152039,0.387866408,2.578510046,2.240550041
1844.3448,86.97563171,0.418019593,2.562819958,2.217270136
1844.4972,85.80593109,0.431684434,2.59078002,2.188030005
1844.6496,86.48417664,0.4206177,2.602010012,2.185479879
1844.802,87.6122818,0.386455447,2.615233898,2.212320089
1844.9544,85.49020386,0.371764183,2.753240109,2.238940001
1845.1068,85.79707336,0.375097752,2.953871012,2.272199869
1845.2592,84.44135284,0.386188388,2.940079927,2.313090086
1845.4116,82.90621185,0.373946697,2.910184145,2.315840006
1845.564,85.73275757,0.367768616,2.8910501,2.288450003
1845.7164,86.42311859,0.379195333,2.723010063,2.237040043
1845.8688,80.7900238,0.416419536,2.557189941,2.235009909
1846.0212,83.33063507,0.4374623,2.562489986,2.232000113
1846.1736,87.86669159,0.426880211,2.4895401,2.259050131
1846.326,87.82508087,0.409904629,2.52993989,2.273530006
1846.4784,89.89487457,0.398567617,2.587320089,2.280149937
1846.6308,89.26269531,0.389658839,2.788019896,2.303340197
1846.7832,83.17722321,0.352759749,3.425681114,2.336479902
1846.9356,80.09111786,0.301317364,4.99394989,2.395910025
1847.088,72.09856415,0.262163252,5.685892582,2.472840071
1847.2404,72.52143097,0.271074325,4.849840164,2.482450008
1847.3928,79.60945892,0.32124868,3.999103546,2.421570063
1847.5452,84.74273682,0.377931535,3.06201005,2.322919846
1847.6976,85.35362244,0.416093737,2.763000011,2.303090096
1847.85,86.74875641,0.39877981,3.429250002,2.356060028
1848.0024,78.97645569,0.36640203,4.112239838,2.425909996
1848.1548,82.48510742,0.309767783,4.792049885,2.486320019
1848.3072,80.51560974,0.287242442,5.22439003,2.503659964
1848.4596,83.74850464,0.2946845,4.879489899,2.489300013
1848.612,84.00735474,0.309741825,4.532680035,2.480750084
1848.7644,85.13607025,0.314258874,4.411045075,2.47183013
1848.9168,86.39900971,0.29590407,4.661439896,2.474409819
1849.0692,87.00404358,0.287326783,4.741642475,2.485179901
1849.2216,86.57846069,0.288967729,4.638720036,2.498330116
1849.374,87.14331818,0.298866481,4.206522465,2.476639986
1849.5264,85.50640106,0.314944297,3.42208004,2.409340143
1849.6788,88.29368591,0.339601487,2.810319901,2.312879801
1849.8312,90.83477783,0.372934341,2.432100058,2.24454999
1849.9836,88.08681488,0.40781948,2.367029905,2.208549976
1850.136,88.11291504,0.422182798,2.419159889,2.195129871
1850.2884,90.45305634,0.419882417,2.5088799,2.188709974
1850.4408,92.75410461,0.409873307,2.4911201,2.207110167
1850.5932,89.04304504,0.421211273,2.543600082,2.213769913
1850.7456,92.42557526,0.424441874,2.497861624,2.175379992
1850.898,94.89909363,0.419739246,2.466109991,2.182929993
1851.0504,93.09177399,0.396517307,2.478559971,2.223070145
1851.2028,93.18828583,0.399167955,2.509870052,2.247620106
1851.3552,92.03368378,0.410085231,2.590466499,2.23706007
1851.5076,91.88645935,0.415221065,2.639309883,2.213199854
1851.66,92.67601013,0.401090622,2.740390062,2.238639832
1851.8124,93.56400299,0.398723632,2.819129944,2.24691987
1851.9648,89.44129944,0.403082073,2.80776,2.263520002
1852.1172,88.07433319,0.409072459,2.821350098,2.267870188
1852.2696,87.19445801,0.402542263,2.688699961,2.281139851
1852.422,91.75364685,0.394285053,2.662070036,2.285229921
1852.5744,94.08592224,0.398079395,2.687580109,2.295259953
1852.7268,93.10064697,0.396507055,2.626478434,2.300889969
1852.8792,92.64245606,0.405650884,2.75345993,2.302889824
1853.0316,94.36501312,0.405272037,2.929528713,2.295850039
1853.184,93.24273682,0.395249575,2.996170044,2.293459892
1853.3364,89.21167755,0.378452838,3.065612316,2.300899983
1853.4888,87.65727997,0.360411048,3.108850002,2.307960033
1853.6412,91.56053925,0.35050559,3.082180023,2.310100079
1853.7936,93.03677368,0.344554573,3.067569971,2.316320181
1853.946,92.88410187,0.348596126,3.022490025,2.320260048
1854.0984,93.47999573,0.368628085,3.005539894,2.322050095
1854.2508,92.07250977,0.382934839,2.983690023,2.320379973
1854.4032,93.88967133,0.382601917,2.989769936,2.315479994
1854.5556,91.56858826,0.375573605,3.035900116,2.317029953
1854.708,89.96668243,0.369298339,2.969949246,2.31678009
1854.8604,93.68621826,0.383576274,2.969470024,2.309190035
1855.0128,88.40660095,0.381305277,3.072006226,2.278490067
1855.1652,89.49519348,0.378998637,3.070709944,2.261290073
1855.3176,88.67754364,0.365803331,2.953808308,2.275899887
1855.47,93.08670807,0.376436085,3.050220013,2.319000006
1855.6224,95.72974396,0.371590316,2.909339905,2.332139969
1855.7748,96.34172821,0.372148395,2.870699883,2.321370125
1855.9272,92.66724396,0.359615624,2.912849903,2.321449995
1856.0796,99.1669693,0.374936581,2.953469992,2.319139957
1856.232,97.25133514,0.38328281,2.966939926,2.322939873
1856.3844,96.63578796,0.401227951,2.947659969,2.319459915
1856.5368,92.43579102,0.387171954,2.93453002,2.320070028
1856.6892,90.79350281,0.392423689,2.922191858,2.31637001
1856.8416,89.92778015,0.378845841,2.960979939,2.313459873
1856.994,88.89083099,0.397659719,3.004634619,2.307549954
1857.1464,89.05212402,0.38020128,3.026129961,2.308320046
1857.2988,87.9420929,0.381241053,3.049160004,2.307389975
1857.4512,87.44731903,0.356964439,3.009190083,2.303509951
1857.6036,85.90118408,0.35390538,2.932640076,2.300100088
1857.756,88.03323364,0.354603618,2.898279905,2.298300028
1857.9084,86.67623138,0.367743015,2.891969919,2.299139977
1858.0608,87.14530182,0.377953619,2.912250042,2.301100016
1858.2132,87.20329285,0.37115866,2.99928999,2.303610086
1858.3656,88.81689453,0.372684002,3.131052733,2.308779955
1858.518,86.85609436,0.360703498,3.108210087,2.324350119
1858.6704,89.30944061,0.35929808,3.058391094,2.337310076
1858.8228,96.25602722,0.349558175,2.918050051,2.340659857
1858.9752,91.70449066,0.363378227,2.818130732,2.326879978
1859.1276,94.72505951,0.373494595,2.749949932,2.311699867
1859.28,90.39360046,0.392605543,2.948790073,2.303050041
1859.4324,85.14620209,0.377069861,3.280240059,2.305299997
1859.5848,84.01021576,0.336584956,3.824840069,2.336679936
1859.7372,78.9070282,0.298024207,4.478700161,2.385689974
1859.8896,78.29625702,0.299799383,4.427780151,2.399270058
1860.042,83.37863159,0.319207817,3.697839975,2.368070126
1860.1944,84.01895905,0.335129947,3.194080114,2.318540096
1860.3468,82.02992249,0.346890837,2.979148388,2.298659802
1860.4992,83.01821899,0.3689318,2.941890001,2.291620016
1860.6516,85.3011322,0.382356018,3.031265974,2.290409803
1860.804,87.58240509,0.365235984,3.038710117,2.295719862
1860.9564,87.93645477,0.351598889,3.027264357,2.294420004
1861.1088,91.81427002,0.332881749,3.025069952,2.295239925
1861.2612,92.53614044,0.336130142,3.02835989,2.293780088
1861.4136,94.25856781,0.343016207,3.038229942,2.297399998
1861.566,95.2464447,0.350208879,3.068480015,2.298659802
1861.7184,92.90873718,0.359288514,3.079969883,2.30136013
1861.8708,88.53291321,0.363967598,3.096199989,2.300840139
1862.0232,93.18209076,0.367382824,3.112940073,2.296010017
1862.1756,95.27516174,0.386464745,3.073960066,2.298399925
1862.328,87.66844177,0.385830998,3.053101301,2.297899962
1862.4804,89.37291718,0.387545228,3.035919905,2.301699877
1862.6328,91.13415527,0.379606664,3.033154964,2.302350044
1862.7852,90.38719177,0.381169975,3.057260037,2.303629875
1862.9376,92.47079468,0.381043017,3.067391396,2.300889969
1863.09,93.45740509,0.376565933,3.072829962,2.297070026
1863.2424,91.69742584,0.367397696,3.127209902,2.290800095
1863.3948,88.88238525,0.358479679,3.285049915,2.282939911
1863.5472,89.4111557,0.344004154,3.395679951,2.273949862
1863.6996,88.19891357,0.34426856,3.48319006,2.262500048
1863.852,84.2759552,0.370249599,3.443619967,2.25308013
1864.0044,85.89794159,0.386486083,3.220370054,2.249110222
1864.1568,89.86981201,0.388630956,3.053420067,2.27283001
1864.3092,87.92595673,0.386034071,3.004461765,2.287489891
1864.4616,85.90428925,0.376251817,2.983099937,2.286760092
1864.614,89.08691406,0.378561795,3.043344736,2.285189867
1864.7664,88.11932373,0.365930796,3.075680018,2.288939953
1864.9188,87.14574432,0.375977486,3.112259626,2.294510126
1865.0712,88.01889038,0.390015036,3.124619961,2.306979895
1865.2236,88.89182282,0.399332404,3.10454011,2.313600063
1865.376,89.96318054,0.403450251,3.122040033,2.310669899
1865.5284,89.81378937,0.398669064,3.081439972,2.30189991
1865.6808,92.46405029,0.391150624,3.062340021,2.293720007
1865.8332,91.84475708,0.37598142,3.0401299,2.285129786
1865.9856,90.6598587,0.359554976,3.021239996,2.280840159
1866.138,89.33425903,0.358775556,2.969500065,2.280959845
1866.2904,89.7461853,0.380274266,2.938215971,2.287220001
1866.4428,88.69497681,0.399190605,2.964159966,2.280639887
1866.5952,91.60351563,0.409931958,2.921877146,2.280439854
1866.7476,91.97133637,0.396248549,2.914439917,2.282749891
1866.9,89.88843536,0.372533798,2.936624765,2.287899971
1867.0524,86.0697937,0.370204449,2.939409971,2.290960074
1867.2048,87.45298004,0.37239188,3.004129887,2.287840128
1867.3572,88.28129578,0.379084438,3.024460077,2.287990093
1867.5096,88.20713806,0.368538022,3.028179884,2.279409885
1867.662,87.30738831,0.37438041,3.072139978,2.262570143
1867.8144,84.72106171,0.367369831,3.079560041,2.253610134
1867.9668,85.97655487,0.378015965,3.115760088,2.267529964
1868.1192,88.43048859,0.376224309,3.140409946,2.289379835
1868.2716,90.19142151,0.384742647,3.126569986,2.293220043
1868.424,90.02731323,0.370961607,3.113709927,2.290790081
1868.5764,88.23748779,0.366674453,3.088234663,2.286909819
1868.7288,86.87952423,0.363973945,3.087120056,2.282720089
1868.8812,85.09949493,0.363778025,3.10947299,2.279789925
1869.0336,82.99770355,0.360183924,3.162559986,2.288110018
1869.186,87.46154785,0.359742016,3.191730022,2.295040131
1869.3384,88.07221985,0.365003467,3.184400082,2.297580004
1869.4908,89.69424439,0.368481696,3.161910057,2.300379992
1869.6432,90.76564026,0.363956511,3.14241004,2.298909903
1869.7956,89.92927551,0.357837468,3.109529972,2.297580004
1869.948,88.52590942,0.354440153,3.065700054,2.295699835
1870.1004,88.86908722,0.366155386,3.022490025,2.295739889
1870.2528,90.66590881,0.372372717,3.020981789,2.299030066
1870.4052,90.9573288,0.372259945,3.025650024,2.298879862
1870.5576,92.91938019,0.372041017,3.019802332,2.294460058
1870.71,91.78147888,0.376288086,3.039619923,2.291350126
1870.8624,92.46318054,0.372631669,3.072535038,2.293169975
1871.0148,94.92945862,0.391611487,3.090640068,2.299540043
1871.1672,94.1711731,0.389054865,3.10296011,2.308279991
1871.3196,92.53633118,0.385240942,3.078589916,2.312969923
1871.472,90.48068237,0.369469017,3.068209887,2.313960075
1871.6244,90.85195923,0.367521286,3.056410074,2.308060169
1871.7768,90.32691956,0.372111708,3.043689966,2.307280064
1871.9292,90.83688355,0.375994027,3.052099943,2.307320118
1872.0816,88.45825195,0.384316087,3.074559927,2.30712986
1872.234,90.1875,0.389896661,3.107151032,2.306860209
1872.3864,91.30594635,0.372857958,3.024990082,2.304500103
1872.5388,92.08531189,0.379137248,2.876281261,2.294939995
1872.6912,90.65380859,0.397346526,2.854969978,2.277669907
1872.8436,84.66249085,0.447616875,2.860229969,2.260280132
1872.996,90.14573669,0.442536116,2.898010016,2.276489973
1873.1484,91.41603851,0.421598375,3.066139936,2.295289993
1873.3008,91.48933411,0.375395775,3.116480112,2.307610035
1873.4532,93.38495636,0.365579486,3.040410042,2.304860115
1873.6056,94.91581726,0.374693811,2.99593997,2.29956007
1873.758,85.2813797,0.371853232,2.948420048,2.302409887
1873.9104,89.6529007,0.365386993,2.83852005,2.298820019
1874.0628,87.56893158,0.380455703,2.792320013,2.282850027
1874.2152,88.20175934,0.406922281,2.800646305,2.253489971
1874.3676,86.31485748,0.430722207,2.852950096,2.266520023
1874.52,86.17261505,0.421500206,2.903738499,2.292469978
1874.6724,84.96800232,0.407613874,3.152400017,2.335120201
1874.8248,86.24305725,0.398863196,3.304090023,2.35931015
